ID,X,Y,datetime,population,X_trans,Y_trans,type
A,699147.387103225,5509555.07179407,2017-01-20T18:02:39Z,1,709147.387103225,5459555.07179407,predator
A,700463.01657074,5509289.58959082,2017-01-20T20:01:24Z,1,710463.01657074,5459289.58959082,predator
A,700447.461563565,5508777.5468091,2017-01-20T22:01:32Z,1,710447.461563565,5458777.5468091,predator
A,700430.370331871,5508793.12853351,2017-01-21T00:02:23Z,1,710430.370331871,5458793.12853351,predator
A,700435.506305376,5508774.26349497,2017-01-21T02:01:42Z,1,710435.506305376,5458774.26349497,predator
A,700199.621361294,5508804.64830898,2017-01-21T04:01:54Z,1,710199.621361294,5458804.64830898,predator
A,700207.06537265,5508804.55008831,2017-01-21T06:02:00Z,1,710207.06537265,5458804.55008831,predator
A,700305.643440392,5508710.02984078,2017-01-21T08:01:42Z,1,710305.643440392,5458710.02984078,predator
A,700303.420882871,5508708.73140628,2017-01-21T10:02:16Z,1,710303.420882871,5458708.73140628,predator
A,699982.128089412,5508936.60179954,2017-01-21T12:03:00Z,1,709982.128089412,5458936.60179954,predator
A,699743.516734375,5509434.94788599,2017-01-21T14:00:53Z,1,709743.516734375,5459434.94788599,predator
A,699826.320262126,5509326.69136335,2017-01-21T16:01:23Z,1,709826.320262126,5459326.69136335,predator
A,699826.678758408,5509309.60697041,2017-01-21T18:01:37Z,1,709826.678758408,5459309.60697041,predator
A,699960.54933314,5508899.4175116,2017-01-21T22:01:46Z,1,709960.54933314,5458899.4175116,predator
A,699965.604082869,5508882.25243988,2017-01-22T00:00:39Z,1,709965.604082869,5458882.25243988,predator
A,700034.908945618,5508837.36510847,2017-01-22T04:02:19Z,1,710034.908945618,5458837.36510847,predator
A,700138.634150214,5508896.03685415,2017-01-22T06:02:12Z,1,710138.634150214,5458896.03685415,predator
A,700120.864853896,5508884.74282828,2017-01-22T08:00:55Z,1,710120.864853896,5458884.74282828,predator
A,700112.11625748,5508894.27681501,2017-01-22T10:00:57Z,1,710112.11625748,5458894.27681501,predator
A,699877.876253347,5508853.61475577,2017-01-22T12:02:06Z,1,709877.876253347,5458853.61475577,predator
A,699798.512456908,5508944.58065984,2017-01-22T14:01:28Z,1,709798.512456908,5458944.58065984,predator
A,699809.086228614,5508949.38934337,2017-01-22T16:02:43Z,1,709809.086228614,5458949.38934337,predator
A,699759.611674304,5509237.80035812,2017-01-22T18:01:41Z,1,709759.611674304,5459237.80035812,predator
A,699338.08164601,5509467.60236752,2017-01-22T20:02:23Z,1,709338.08164601,5459467.60236752,predator
A,699027.665150608,5509304.41752325,2017-01-22T22:00:54Z,1,709027.665150608,5459304.41752325,predator
A,698993.317461353,5509297.44116724,2017-01-23T00:00:58Z,1,708993.317461353,5459297.44116724,predator
A,699267.458240894,5509355.96419866,2017-01-23T02:01:18Z,1,709267.458240894,5459355.96419866,predator
A,699364.654043676,5509317.67394747,2017-01-23T04:01:55Z,1,709364.654043676,5459317.67394747,predator
A,699355.116807258,5509326.9497741,2017-01-23T06:00:54Z,1,709355.116807258,5459326.9497741,predator
A,699358.254515896,5509331.5094428,2017-01-23T08:01:24Z,1,709358.254515896,5459331.5094428,predator
A,699356.397804681,5509331.4109871,2017-01-23T10:00:53Z,1,709356.397804681,5459331.4109871,predator
A,699871.160421808,5509190.59908211,2017-01-23T12:01:41Z,1,709871.160421808,5459190.59908211,predator
A,699651.134829232,5508602.3992667,2017-01-23T14:02:49Z,1,709651.134829232,5458602.3992667,predator
A,699614.676006902,5508604.65849113,2017-01-23T16:00:57Z,1,709614.676006902,5458604.65849113,predator
A,699615.659539204,5508598.22690939,2017-01-23T18:01:13Z,1,709615.659539204,5458598.22690939,predator
A,699725.954060313,5508464.8935042,2017-01-23T20:01:18Z,1,709725.954060313,5458464.8935042,predator
A,699482.674232175,5508472.76216694,2017-01-23T22:01:55Z,1,709482.674232175,5458472.76216694,predator
A,699533.757975966,5508404.54494398,2017-01-24T00:00:53Z,1,709533.757975966,5458404.54494398,predator
A,699551.086713097,5508398.94356221,2017-01-24T02:01:18Z,1,709551.086713097,5458398.94356221,predator
A,699570.100190261,5508440.59691343,2017-01-24T04:00:48Z,1,709570.100190261,5458440.59691343,predator
A,699256.72452032,5508314.30100114,2017-01-24T06:01:52Z,1,709256.72452032,5458314.30100114,predator
A,699239.599119948,5508301.44458018,2017-01-24T08:00:54Z,1,709239.599119948,5458301.44458018,predator
A,699218.211599542,5508204.13229439,2017-01-24T10:00:54Z,1,709218.211599542,5458204.13229439,predator
A,699223.669371172,5508155.9893211,2017-01-24T12:02:23Z,1,709223.669371172,5458155.9893211,predator
A,699364.168590403,5508232.19505552,2017-01-24T14:02:16Z,1,709364.168590403,5458232.19505552,predator
A,699374.867890888,5508201.633075,2017-01-24T16:00:53Z,1,709374.867890888,5458201.633075,predator
A,699463.170897158,5508269.81821378,2017-01-24T18:00:53Z,1,709463.170897158,5458269.81821378,predator
A,699822.560273488,5508324.03293527,2017-01-24T20:00:54Z,1,709822.560273488,5458324.03293527,predator
A,699757.173350655,5508149.40735461,2017-01-24T22:01:09Z,1,709757.173350655,5458149.40735461,predator
A,699821.660994053,5508026.27265298,2017-01-25T00:01:43Z,1,709821.660994053,5458026.27265298,predator
A,699819.714961313,5508014.56160974,2017-01-25T02:01:24Z,1,709819.714961313,5458014.56160974,predator
A,699941.536273698,5508173.34337671,2017-01-25T04:01:55Z,1,709941.536273698,5458173.34337671,predator
A,699986.629784742,5508124.24774582,2017-01-25T06:00:53Z,1,709986.629784742,5458124.24774582,predator
A,699908.378268296,5507864.23309029,2017-01-25T08:01:18Z,1,709908.378268296,5457864.23309029,predator
A,699901.015207907,5507866.45037873,2017-01-25T10:02:11Z,1,709901.015207907,5457866.45037873,predator
A,700255.547148218,5508045.59596382,2017-01-25T12:02:42Z,1,710255.547148218,5458045.59596382,predator
A,700697.713235245,5507860.38512259,2017-01-25T14:01:45Z,1,710697.713235245,5457860.38512259,predator
A,700389.166137998,5507963.66649161,2017-01-25T16:01:24Z,1,710389.166137998,5457963.66649161,predator
A,700396.748165564,5507972.70920735,2017-01-25T18:00:55Z,1,710396.748165564,5457972.70920735,predator
