ID,randomID,yday,timegroup,EASTING,NORTHING,group,datetime
A,A,48,715,649570.466913439,5301705.43216184,715_2,2012-02-17T17:30:10Z
A,A,48,716,649491.768199061,5301557.51963262,716_1,2012-02-17T18:30:25Z
A,A,48,716,649561.713631953,5301488.77731299,716_1,2012-02-17T19:30:47Z
A,A,48,717,649563.917331947,5301485.91839894,717_1,2012-02-17T20:30:47Z
A,A,48,717,649560.00622129,5301488.25269649,717_1,2012-02-17T21:30:18Z
A,A,48,718,649857.250959527,5301508.46285655,718_2,2012-02-17T22:30:48Z
A,A,48,718,650265.960927263,5301041.39618914,718_1,2012-02-17T23:30:15Z
A,A,48,719,650334.866383651,5300917.5603449,719_1,2012-02-18T00:30:22Z
A,A,48,719,650036.841171647,5300654.26627929,719_2,2012-02-18T01:30:49Z
A,A,48,720,649994.517022538,5300640.09063435,720_1,2012-02-18T02:30:08Z
A,B,18,3,650548.991740523,5307573.61724104,3_3,2010-01-18T18:30:53Z
A,B,18,163,659881.300738225,5315025.41456474,163_3,2011-01-18T23:30:50Z
A,B,20,11,653100.829973509,5315701.62704574,11_3,2010-01-20T08:31:12Z
A,B,20,12,653340.326324946,5314836.04235261,12_3,2010-01-20T13:30:47Z
A,B,20,344,647494.597354344,5297528.73544138,344_2,2012-01-20T03:30:42Z
A,B,21,175,660095.36456167,5313186.96118167,175_3,2011-01-21T08:31:03Z
A,B,21,176,660175.452775667,5313163.52488627,176_3,2011-01-21T13:30:53Z
A,B,21,363,647942.672782532,5300489.10463687,363_2,2012-01-21T14:30:23Z
A,B,29,57,653142.016398054,5302255.75162092,57_3,2010-01-29T13:30:48Z
A,B,29,216,659249.959129516,5317522.91228153,216_3,2011-01-29T13:30:49Z
A,B,29,218,658325.923199986,5317943.1417229,218_3,2011-01-29T23:30:57Z
A,B,29,467,650059.414099625,5299692.83352099,467_3,2012-01-29T14:30:12Z
A,B,33,76,651613.703199943,5304405.04730043,76_3,2010-02-02T08:30:55Z
A,B,33,235,659117.615355101,5323406.08505147,235_3,2011-02-02T08:30:54Z
A,B,33,236,659139.780337804,5323410.92052581,236_3,2011-02-02T13:30:53Z
A,B,33,238,658842.135682255,5323130.14957615,238_3,2011-02-02T23:31:12Z
A,B,33,519,651354.593980818,5298584.49925129,519_4,2012-02-02T14:30:41Z
A,B,34,241,661328.50609557,5326445.44784573,241_3,2011-02-03T13:30:49Z
A,B,34,242,663313.258125426,5328251.88324048,242_3,2011-02-03T18:30:49Z
A,B,34,243,663136.628800673,5327848.60193373,243_3,2011-02-03T23:30:55Z
A,B,37,96,650734.577008777,5304443.3134698,96_3,2010-02-06T08:30:49Z
A,B,37,98,651198.682040962,5303909.73523033,98_3,2010-02-06T18:30:48Z
A,B,37,255,663649.47602012,5324647.56383217,255_3,2011-02-06T08:30:54Z
A,B,37,571,651805.197763628,5297944.05032664,571_3,2012-02-06T14:30:42Z
A,B,44,131,651842.598009405,5306425.34769898,131_2,2010-02-13T08:30:54Z
A,B,44,289,662231.014900195,5324392.45123173,289_3,2011-02-13T03:30:50Z
A,B,44,290,661966.924354174,5324009.56275292,290_3,2011-02-13T08:30:52Z
A,B,44,291,661960.557159905,5324103.75129881,291_3,2011-02-13T13:30:49Z
A,B,44,662,652362.367907179,5297944.47657252,662_3,2012-02-13T15:30:23Z
A,C,22,22,654731.369342728,5315000.10771319,22_3,2010-01-22T13:30:41Z
A,C,22,179,660513.407121665,5312927.49047158,179_3,2011-01-22T03:30:53Z
A,C,22,180,660495.803090961,5312924.29263334,180_3,2011-01-22T08:30:44Z
A,C,24,34,651866.657359103,5306413.9675515,34_3,2010-01-24T23:30:50Z
